Image Name,Train Caption,Augmented Train Caption
great_pyrenees_176.jpg,a photograph of a white dog sitting on a rug in a room,a photograph of a white dog sitting on a rug on the floor
newfoundland_176.jpg,a photograph of a black dog sitting in a yard next to a fence,a photograph of a black dog looking up at something
keeshond_130.jpg,a photograph of a dog is sitting on a deck with a leash,a photograph of a dog is sitting on a wooden deck
yorkshire_terrier_138.jpg,a photograph of a small dog standing on a wooden floor,a photograph of a small dog standing on a wooden floor
scottish_terrier_114.jpg,a photograph of a black dog sitting on a porch with a wooden fence,a photograph of a black dog with a green mohawk on its head
miniature_pinscher_109.jpg,a photograph of a small dog laying on a bed with a white sheet,a photograph of a small dog laying on a bed with a white sheet
Birman_18.jpg,a photograph of a white cat with blue eyes sitting on a floor,a photograph of a white cat with blue eyes sitting on a floor
havanese_11.jpg,a photograph of a small white dog standing on top of a wooden log,a photograph of a small white dog standing on top of a grass covered field
great_pyrenees_149.jpg,a photograph of a white dog laying on the floor in a living room,a photograph of a white dog laying on the floor in a room
american_bulldog_116.jpg,a photograph of a dog sitting in a boat on a lake,a photograph of a dog sitting in a boat on a lake
Abyssinian_14.jpg,a photograph of a cat laying on a bed with a yellow pillow,a photograph of a cat laying on a bed with a yellow blanket
Persian_145.jpg,a photograph of a cat laying on the floor with a person sitting in the background,a photograph of a white cat laying on the floor with a person in the background
wheaten_terrier_130.jpg,a photograph of a shaggy dog laying on a tiled floor,a photograph of a dog laying on a chair with its paws on the back of it
pomeranian_157.jpg,a photograph of a dog sitting on a chair in front of a window,a photograph of a dog sitting on a bed with a window in the background
english_cocker_spaniel_178.jpg,a photograph of a dog with its tongue out sitting on a table,a photograph of a dog with its tongue out and its tongue hanging out
Abyssinian_129.jpg,a photograph of a cat sitting on top of a refrigerator,a photograph of a cat sitting on top of a white refrigerator
Ragdoll_103.jpg,a photograph of a cat laying on a rug under a blanket,a photograph of a cat laying on a bed with a blanket
havanese_168.jpg,a photograph of a dog is laying on a couch with its tongue out,a photograph of a dog with its mouth open and its tongue out
basset_hound_18.jpg,a photograph of a dog sitting in the grass next to a wooden fence,a photograph of a dog laying on the ground with its head up
english_cocker_spaniel_113.jpg,a photograph of a dog with a ball in its mouth,a photograph of a dog with a tennis ball in its mouth
Bengal_173.jpg,a photograph of a cat standing on the floor next to a tv,a photograph of a cat standing on the floor next to a basket
Egyptian_Mau_11.jpg,a photograph of a cat with yellow eyes looking at something,a photograph of a cat with yellow eyes looking up
shiba_inu_174.jpg,a photograph of a dog sitting in the grass with a frisbee in its mouth,a photograph of a dog is standing in the grass with a frisbee
Birman_13.jpg,a photograph of a cat is sitting on a couch with a pillow,a photograph of a cat laying on a couch with a blanket
Siamese_112.jpg,a photograph of a cat sitting on a chair in a garden,a photograph of a cat sitting on a chair looking at the camera
great_pyrenees_161.jpg,a photograph of a large white dog standing next to a brick wall,a photograph of a white dog laying on its back on a sidewalk
english_setter_12.jpg,a photograph of a dog with a brown spot on its face,a photograph of a dog with a brown background
saint_bernard_110.jpg,a photograph of a puppy is sitting on the floor looking up,a photograph of a puppy is sitting on the floor looking up
Russian_Blue_1.jpg,a photograph of a cat sitting on a green surface,a photograph of a cat sitting on a green surface
Persian_190.jpg,a photograph of a fluffy cat sitting on the ground looking up,a photograph of a cat sitting on the ground looking up
British_Shorthair_167.jpg,a photograph of a cat laying on a bed with a blue blanket,a photograph of a cat with yellow eyes laying on a bed
staffordshire_bull_terrier_120.jpg,a photograph of a dog laying in the grass with a frisbee in its mouth,a photograph of a dog laying on the grass in the shade
pomeranian_134.jpg,a photograph of a small dog standing on a carpeted floor,a photograph of a small dog laying on a couch with its head on the pillow
keeshond_167.jpg,a photograph of a dog with a very big smile standing in a doorway,a photograph of a dog with a very large nose and a very long nose
Russian_Blue_198.jpg,a photograph of a cat laying on the floor in a living room,a photograph of a gray cat laying on the floor with a black background
great_pyrenees_189.jpg,a photograph of a dog with a long hair standing in the grass,a photograph of a white dog with a long hair standing in the grass
leonberger_160.jpg,a photograph of a dog standing behind a gate with its tongue out,a photograph of a dog is standing in front of a gate
Egyptian_Mau_125.jpg,a photograph of a cat sitting on a blue satin surface,a photograph of a cat sitting on a green satin material
boxer_184.jpg,a photograph of a dog sitting in the back seat of a car,a photograph of a dog with its head in the back seat of a car
yorkshire_terrier_184.jpg,a photograph of a small dog sitting on a couch next to a quilt,a photograph of a small dog laying on a quilted blanket
scottish_terrier_101.jpg,a photograph of a small black dog wearing a sweater standing on a tiled floor,a photograph of a black dog wearing a sweater standing on a tiled floor
British_Shorthair_188.jpg,a photograph of a cat with a tongue sticking out of its mouth,a photograph of a cat with its tongue out laying on a wooden floor
chihuahua_127.jpg,a photograph of a small white dog is being held by a person,a photograph of a small white dog is held in a persons hand
basset_hound_124.jpg,a photograph of a dog sitting in the grass looking up,a photograph of a dog sitting in the grass with a red collar
basset_hound_151.jpg,a photograph of a dog with a sad look on its face,a photograph of a brown and white dog with a black collar
boxer_121.jpg,a photograph of a dog standing on a beach next to a pier,a photograph of a dog walking on a beach next to a boat
english_setter_131.jpg,a photograph of a dog is sitting on a chair on a sidewalk,a photograph of a dog with a leash on a sidewalk
newfoundland_136.jpg,a photograph of a dog sitting on the ground with a leash,a photograph of a dog sitting on a leash in a park
staffordshire_bull_terrier_194.jpg,a photograph of a black dog sitting in the grass near a wooden building,a photograph of a black dog sitting on top of a wooden floor
Russian_Blue_116.jpg,a photograph of a cat with green eyes looking up at the camera,a photograph of a cat with green eyes looking up
great_pyrenees_138.jpg,a photograph of a white dog sitting on a rock by the ocean,a photograph of a white dog laying on top of a sandy beach
Siamese_128.jpg,a photograph of a siamese cat with blue eyes sitting on a bed,a photograph of a siamese cat with blue eyes looking at the camera
saint_bernard_155.jpg,a photograph of a dog standing on a tiled floor looking up,a photograph of a dog sitting on a tiled floor looking up
Bengal_166.jpg,a photograph of a cat sitting on top of a cat tree,a photograph of a cat sitting on top of a blue blanket
Bengal_135.jpg,a photograph of a cat laying on the floor in a room,a photograph of a cat laying on a blanket in a box
Maine_Coon_135.jpg,a photograph of a cat laying on a chair with a blurry background,a photograph of a cat sitting on a chair looking at the camera
scottish_terrier_16.jpg,a photograph of a white dog sitting on a wooden bench,a photograph of a white dog laying in the dirt with a bush behind it
chihuahua_148.jpg,a photograph of a small black dog sitting on the floor next to a book,a photograph of a small black dog sitting on a carpet
yorkshire_terrier_153.jpg,a photograph of a small dog laying on a wooden deck,a photograph of a dog laying on a blanket with a black background
staffordshire_bull_terrier_181.jpg,a photograph of a black dog laying in the grass with his tongue out,a photograph of a black dog laying on its back in the grass
basset_hound_125.jpg,a photograph of a dog laying on a rug in front of a door,a photograph of a dog laying on the ground next to a door
newfoundland_117.jpg,a photograph of a man holding a black dog in his arms,a photograph of a man holding a black dog with a smile on his face
Persian_120.jpg,a photograph of a white cat sitting on a wooden floor,a photograph of a white cat sitting on a wooden floor
